major,mid,n_sku,n_boxes
해열진통소염,Paracetamol계,24,4159
해열진통소염,NSAID,25,2434
해열진통소염,아스피린계,2,283
해열진통소염,기타진통,2,22
호흡기감기,종합감기,37,2725
호흡기감기,진해거담,33,941
호흡기감기,비염알레르기,24,1629
호흡기감기,한방감기,11,64
호흡기감기,기타호흡기,4,38
순환기,Amlodipine,3,1482
순환기,Atenolol,1,381
순환기,Bisoprolol,2,232
순환기,Captopril,3,426
순환기,Diosmin,1,42
순환기,Enalapril,1,132
순환기,Furosemide,1,138
순환기,Hydrochlorothiazide,1,166
순환기,Isosorbide,1,452
순환기,Losartan,2,727
순환기,Manidipine,1,25
순환기,Methyldopa,2,215
순환기,Propranolol,1,168
순환기,Ramipril,3,443
순환기,Simvastatin,1,385
순환기,Telmisartan,1,477
순환기,브랜드,7,1161
당뇨,Glibenclamide,1,173
당뇨,Gliclazide,2,233
당뇨,Glimepiride,5,1244
당뇨,Glipizide,3,767
당뇨,Gliquidone,1,195
당뇨,Metformin,3,1123
당뇨,Sitagliptin,2,494
당뇨,Voglibose,1,358
당뇨,브랜드,2,258
항균항바이러스,기타항균,22,1348
항균항바이러스,마크로라이드,3,413
항균항바이러스,베타락탐,9,1059
항균항바이러스,세팔로스포린,6,950
항균항바이러스,퀴놀론,5,234
항균항바이러스,항바이러스,1,196
항균항바이러스,항진균,12,678
소화기,제산궤양,25,1659
소화기,소화효소,5,273
소화기,지사제,5,47
소화기,기타소화,14,396
신경정신,항전간신경통,3,467
신경정신,항우울항정신,10,1381
신경정신,편두통,3,22
신경정신,어지럼,8,533
신경정신,통풍,2,714
신경정신,기타신경,7,432
호르몬내분비,갑상선,3,423
호르몬내분비,스테로이드,3,280
호르몬내분비,여성호르몬,5,454
피부외용,항진균외용,7,111
피부외용,스테로이드외용,8,258
피부외용,파스외용,39,717
피부외용,위생화장품,26,82
피부외용,기타외용,18,114
비타민영양,종합비타민,25,358
비타민영양,단일영양,36,1219
비타민영양,면역건강,7,438
피임산과,경구피임,2,277
피임산과,산과기타,9,233
정품위조,Alaxan,2,383
정품위조,Bioflu,2,341
정품위조,Biogesic,2,387
정품위조,Decolgen,2,370
정품위조,Medicol Advance,2,401
정품위조,Neozep Forte,2,371
한국식약처코드,식약처품목허가번호,53,4974
기타,성분명만,44,742
기타,브랜드미분류,39,1183
기타,비의약품,4,132
